Temp. (°C),Densidad (kg/m³),Calor específico (J/kg·K),Conductividad térmica (W/m·K),Viscosidad dinámica (kg/m·s),Viscosidad cinemática (m²/s),Número de Prandtl
20,788.4,2515,0.1987,5.857e-04,7.429e-07,7.414
30,779.1,2577,0.1980,5.088e-04,6.531e-07,6.622
40,769.6,2644,0.1972,4.460e-04,5.795e-07,5.980
50,760.1,2718,0.1965,3.942e-04,5.185e-07,5.453
60,750.4,2798,0.1957,3.510e-04,4.677e-07,5.018
70,740.4,2885,0.1950,3.146e-04,4.250e-07,4.655
