Temp. (°C),Densidad (kg/m³),Calor específico (J/kg·K),Conductividad térmica (W/m·K),Viscosidad dinámica (kg/m·s),Viscosidad cinemática (m²/s),Número de Prandtl
-160,420.2,3492,0.1863,1.133e-04,2.699e-07,2.126
-150,405.0,3580,0.1703,9.169e-05,2.264e-07,1.927
-140,388.8,3700,0.1550,7.551e-05,1.942e-07,1.803
-130,371.1,3875,0.1402,6.288e-05,1.694e-07,1.738
-120,351.4,4146,0.1258,5.257e-05,1.496e-07,1.732
-110,328.8,4611,0.1115,4.377e-05,1.331e-07,1.810
-100,301.0,5578,0.0967,3.577e-05,1.188e-07,2.063
-90,261.7,8902,0.0797,2.761e-05,1.055e-07,3.082
