Material,Conductividad térmica (W/m·K),Densidad (kg/m³),Calor específico (J/kg·K)
Óxido de aluminio (zafiro),46,3970,765
Óxido de aluminio (policristalino),36.0,3970,765
Óxido de berilio,272,3000,1030
Boro,27.6,2500,1105
Boro fibra epóxica al compuesto (30% en volumen),,590,2080
Carbono amorfo,1.60,1950,
Diamante tipo IIa aislador,2300,3500,509
Grafito pirolítico,4970,2210,1950
Grafito fibra de compuesto epóxico (25% en vol.),,450,1400
Pirocerámico Corning 9606,490,3160,675
Silicio carburo de cristalino (cuarzo),,2650,
Silicio bióxido de policristalino (vidrio de sílice),1.38,2220,745
Silicio nitruro de,16.0,2400,691
Azufre,0.206,2070,708
Torio bióxido de,13,9110,235
Titanio bióxido de policristalino,8.4,4157,710
