Temp. (°C),Densidad (kg/m³),Calor específico (J/kg·K),Conductividad térmica (W/m·K),Viscosidad dinámica (kg/m·s),Viscosidad cinemática (m²/s),Número de Prandtl
0,1276,2262,0.2820,10.49,8.219e-03,84101
5,1273,2288,0.2835,6.730,5.287e-03,54327
10,1270,2320,0.2846,4.241,3.339e-03,34561
15,1267,2354,0.2856,2.496,1.970e-03,20570
20,1264,2386,0.2860,1.519,1.201e-03,12671
25,1261,2416,0.2860,0.9934,7.878e-04,8392
30,1258,2447,0.2860,0.6582,5.232e-04,5631
35,1255,2478,0.2860,0.4347,3.464e-04,3767
40,1252,2513,0.2863,0.3073,2.455e-04,2697
